Asset,Trade,Entry,P/L,Gewinn,DQN,Conf,Verdict,Kerzen
OIL_CRUDE,SELL,96.7560,-0.9676,false,SELL,7,MATCH,418
OIL_CRUDE,SELL,97.4310,-0.9743,false,SELL,6,MATCH,500
OIL_CRUDE,SELL,97.4310,-0.5846,false,SELL,6,MATCH,500
NATURALGAS,SELL,3.0606,-0.0092,false,SELL,5,MATCH,500
OIL_CRUDE,SELL,99.3710,-0.2981,false,SELL,5,MATCH,500
SILVER,SELL,69.7310,-0.6973,false,BUY,5,BESSER,500
SILVER,SELL,69.7310,-0.4184,false,BUY,5,BESSER,500
SILVER,SELL,69.7310,-0.2092,false,BUY,5,BESSER,500
OIL_CRUDE,SELL,97.0130,-0.9701,false,SELL,5,MATCH,499
NATURALGAS,SELL,3.0411,-0.0304,false,SELL,5,MATCH,499
NATURALGAS,SELL,3.0411,-0.0182,false,SELL,5,MATCH,499
SILVER,SELL,71.2230,+1.7806,true,SELL,5,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
NATURALGAS,SELL,3.0745,+0.0154,true,SELL,4,MATCH,500
